10,30,12,25,2,4,4,8,5,10,1,0,3,3,0,0,7,25,11,40,6,6,8,0,9,25,176
12,26,5,10,7,25,11,40,2,6,6,12,0,50,9,25,10,30,3,15,8,22,1,2,4,8,271
12,18,10,30,5,15,9,25,8,21,3,9,6,12,4,8,1,1,7,19,2,8,11,40,0,0,206
12,28,6,6,11,40,0,50,8,22,9,25,4,12,10,30,2,4,7,25,1,1,3,12,5,10,265
12,18,10,30,8,26,11,40,9,25,5,10,3,6,2,6,7,24,1,0,4,8,0,0,6,18,211
12,26,6,12,1,2,8,8,11,40,9,25,10,30,2,2,4,8,3,9,0,0,5,10,7,24,196
12,26,10,30,11,40,5,15,3,9,8,26,1,3,4,8,2,8,0,0,6,6,9,0,7,0,171
12,26,10,30,4,12,6,18,7,27,2,8,1,3,9,25,8,23,3,3,0,0,11,40,5,15,230
10,30,12,24,0,50,11,40,9,25,6,18,3,6,4,8,5,15,1,1,7,27,8,26,2,2,272
12,22,6,12,5,10,0,50,1,1,8,29,10,30,2,2,9,25,7,22,4,8,3,9,11,0,220
12,25,8,12,9,25,3,9,4,8,2,2,5,20,1,3,10,30,6,12,0,0,7,24,11,40,210
10,30,12,22,5,15,9,25,6,18,1,2,8,27,4,12,2,6,7,25,0,50,3,3,11,40,275
11,40,12,21,4,8,5,15,6,18,9,25,7,21,2,6,0,50,10,30,1,3,3,6,8,29,272
12,24,11,40,4,12,1,0,3,6,9,25,10,30,6,12,8,28,7,27,5,20,2,8,0,0,232
10,30,12,22,3,9,1,1,4,12,11,40,5,15,6,12,7,18,9,25,2,4,0,0,8,0,188
11,40,12,28,0,50,8,30,10,30,3,9,1,1,7,26,6,12,2,6,9,25,4,12,5,5,274
12,22,10,30,11,40,1,1,2,8,9,25,6,18,7,24,3,6,0,0,5,15,4,4,8,0,193
9,25,12,24,10,30,7,26,8,26,5,10,0,50,11,40,2,4,6,18,4,12,1,2,3,6,273
12,20,10,30,9,25,6,12,3,12,7,23,11,40,8,24,1,3,5,15,2,4,4,16,0,0,224
10,30,11,40,12,22,1,0,7,27,4,8,3,9,6,18,2,4,0,0,8,0,9,25,5,10,193
12,20,11,40,3,9,8,25,1,3,6,12,5,10,7,25,4,16,2,2,0,0,9,0,10,0,162
11,40,10,30,9,25,7,23,1,0,4,8,6,18,8,17,2,8,0,0,12,25,3,9,5,20,223
10,30,11,40,7,27,9,25,4,16,8,28,5,15,3,9,2,8,6,18,1,1,12,24,0,0,241
12,24,8,29,1,1,10,30,4,8,9,25,6,24,7,26,5,20,0,0,11,40,2,6,3,3,236
12,22,6,12,9,25,8,25,11,40,4,12,0,50,3,15,10,30,7,25,5,10,1,1,2,6,273
