2,8,5,15,9,25,8,22,11,40,6,18,12,23,10,30,3,12,1,1,7,23,4,12,0,0,229
2,8,9,25,8,28,5,20,1,2,10,30,7,28,11,40,12,28,3,12,4,8,0,0,6,12,241
6,18,10,30,8,29,5,10,3,12,7,23,2,6,1,1,12,19,4,4,0,0,9,0,11,40,192
11,40,10,30,1,2,8,22,6,24,7,27,9,25,3,9,12,26,5,10,2,2,0,0,4,8,225
2,4,7,26,10,30,5,10,1,1,12,19,8,7,6,12,9,25,4,8,3,9,0,0,11,0,151
8,25,3,6,12,21,7,27,11,40,5,20,2,6,4,8,1,2,10,30,0,0,9,25,6,18,228
3,6,12,24,9,25,7,24,4,12,0,50,11,40,8,25,10,30,5,15,6,18,2,6,1,1,276
10,30,12,24,9,25,1,1,8,26,4,16,5,15,2,2,11,40,0,0,6,12,3,0,7,18,209
2,8,9,25,3,6,0,50,10,30,12,23,1,1,7,25,4,12,5,5,6,18,8,0,11,0,203
9,25,5,15,12,25,10,30,6,12,1,2,2,2,11,40,3,9,7,22,4,12,8,11,0,0,205
8,24,10,30,4,16,7,25,9,25,5,15,1,0,2,4,11,40,0,0,3,9,12,20,6,18,226
3,6,6,18,2,8,9,25,4,12,1,4,7,26,8,26,5,20,12,20,0,50,11,40,10,30,285
9,25,10,30,8,22,0,50,6,12,4,16,12,21,1,1,11,40,7,15,3,9,5,25,2,6,272
8,25,3,9,5,10,7,29,1,1,12,22,4,8,2,4,0,0,6,24,9,0,10,30,11,0,162
7,24,10,30,4,12,11,40,6,18,1,2,2,8,12,23,8,23,5,15,0,0,3,6,9,0,201
3,9,5,15,4,12,9,25,6,18,12,22,10,30,1,1,2,2,11,40,0,0,7,23,8,0,197
7,24,1,4,5,10,8,21,10,30,12,23,11,40,4,16,3,6,2,4,9,25,6,18,0,0,221
10,30,1,1,8,22,4,8,3,9,5,20,2,0,12,18,9,25,6,24,7,23,0,0,11,0,180
9,25,10,30,11,40,4,12,2,6,3,6,7,20,8,21,12,24,6,24,1,4,5,15,0,0,227
4,12,6,12,10,30,11,40,8,22,9,25,7,28,5,20,0,50,3,9,12,25,1,3,2,4,280
5,10,8,26,4,8,12,22,10,30,9,25,1,1,2,2,0,0,7,24,6,18,3,9,11,0,175
2,8,10,30,12,23,1,1,6,18,9,25,8,18,3,3,4,8,0,0,5,5,7,23,11,0,162
1,4,6,12,3,9,7,17,2,4,10,30,9,25,12,21,8,23,4,8,5,10,0,0,11,0,163
11,40,4,12,8,17,3,9,10,30,0,50,5,15,7,20,1,2,2,4,12,22,9,0,6,18,239
5,10,9,25,6,12,8,23,12,23,11,40,2,6,3,9,4,12,1,0,7,21,0,0,10,0,181
8,24,0,50,2,4,9,25,7,24,3,9,4,12,10,30,5,10,6,12,12,22,1,1,11,40,263
12,24,6,18,4,16,1,4,2,4,10,30,9,25,11,40,3,9,7,16,0,0,5,5,8,20,211
5,15,6,18,9,25,11,40,10,30,2,6,0,50,7,25,1,3,12,27,8,10,4,8,3,9,266
4,16,1,4,6,18,12,21,9,25,7,24,2,2,10,30,3,6,8,8,5,10,11,40,0,0,204
8,25,10,30,5,20,9,25,12,21,3,12,1,1,0,0,2,2,6,24,4,4,11,40,7,0,204
10,30,1,2,6,12,4,8,2,4,7,24,9,25,12,25,8,16,11,40,5,20,3,9,0,0,215
7,25,2,6,11,40,1,2,6,12,9,25,5,15,10,30,12,23,8,18,3,6,0,0,4,4,206
10,30,6,18,9,25,8,23,4,8,7,26,12,25,3,6,1,0,11,40,5,10,2,2,0,0,213
3,9,0,50,8,25,9,25,12,25,11,40,7,27,5,15,10,30,2,6,4,16,6,12,1,1,281
7,28,2,4,3,9,10,30,8,26,6,18,1,1,4,8,5,10,12,24,9,25,0,0,11,40,223
12,24,7,25,9,25,4,12,6,18,3,12,2,6,1,0,5,10,10,30,8,17,0,0,11,40,219
8,29,11,40,3,9,9,25,2,6,1,0,10,30,4,8,6,12,7,28,12,23,0,0,5,20,230
3,6,6,12,4,8,11,40,5,15,8,26,9,25,1,3,7,27,10,30,2,8,0,0,12,20,220
1,3,9,25,3,12,11,40,12,21,0,50,10,30,8,26,7,23,6,12,2,4,5,15,4,4,265
5,15,2,8,6,18,10,30,7,27,1,1,11,40,4,8,9,25,3,9,12,27,0,0,8,0,208
8,25,11,40,12,26,6,24,2,4,1,0,10,30,3,6,9,25,0,50,5,10,4,8,7,14,262
6,18,1,2,10,30,11,40,7,23,9,25,2,6,5,10,3,6,0,0,8,18,12,28,4,16,222
11,40,9,25,6,18,3,9,2,4,10,30,8,22,0,50,4,12,12,24,1,0,5,10,7,0,244
2,8,5,15,3,12,10,30,1,0,11,40,6,12,9,25,12,25,4,4,7,18,8,14,0,0,203
11,40,9,25,10,30,1,1,4,12,12,24,6,12,0,50,2,6,3,9,8,17,7,25,5,15,266
9,25,8,26,10,30,7,26,6,24,5,15,11,40,4,8,1,3,2,8,3,6,12,22,0,0,233
0,50,8,25,10,30,1,2,11,40,6,24,9,25,3,9,12,25,4,12,7,23,5,15,2,2,282
10,30,5,15,7,25,4,12,12,27,9,25,0,50,3,15,2,2,6,18,11,40,1,2,8,0,261
5,20,9,25,7,27,6,18,4,12,8,23,1,2,10,30,2,2,11,40,12,23,3,9,0,0,231
3,12,12,24,10,30,11,40,6,18,2,8,8,26,9,25,7,18,4,8,1,0,5,10,0,0,219
10,30,3,12,7,25,12,20,11,40,9,25,8,23,1,2,4,8,6,24,2,4,0,0,5,15,228
2,8,9,25,10,30,8,24,1,2,12,23,6,24,3,3,11,40,7,27,4,8,0,50,5,5,269
7,27,3,9,8,26,1,2,4,8,5,15,10,30,9,25,6,18,11,40,2,8,12,27,0,0,235
5,10,7,26,8,21,6,24,3,9,9,25,11,40,2,6,12,24,1,3,0,0,10,30,4,8,226
