3959,45.339
7803,33.468
7806,29.91
7805,30.392
1535,51.795
7799,35.652
5871,31.296
2015,51.463
3455,53.486
7791,37.34
5879,29.987
3935,51.733
5883,26.918
5886,20.898
5885,25.678
1023,67.083
1983,53.971
3903,54.447
2943,64.207
7743,41.86
6783,48.556
4863,44.694
5823,36.15
4085,27.664
4086,31.862
4089,24.782
3551,47.4
7407,31.743
4090,28.31
4092,27.869
7887,30.825
7923,21.386
6847,45.455
7926,18.948
7925,18.435
7930,16.881
7929,15.753
3567,45.2
7391,34.021
4047,42.651
7932,14.8
3575,43.015
7911,25.816
5759,38.972
4055,39.199
7915,23.542
4059,37.114
3581,38.454
3582,37.865
7918,20.666
4062,36.713
7917,21.133
4061,34.104
3579,40.142
6399,39.875
3055,56.004
6879,43.557
7839,36.082
4015,44.894
7359,35.806
3067,51.659
4023,41.062
3069,48.894
3070,50.114
4029,36.217
4030,39.821
3063,53.162
4027,38.461
7863,30.28
6907,35.215
6910,28.318
6909,31.863
7870,25.114
7869,25.313
7867,27.137
6903,37.617
2559,59.976
3039,58.865
6895,39.723
7855,33.594
3999,47.897
3519,50.425
7295,39.8
7775,40.541
2039,48.244
3951,48.675
2043,44.907
2045,41.742
2046,40.934
3963,42.539
3965,42.177
3966,42.619
5375,31.378
5855,34.226
2031,50.035
6975,57.965
8053,27.395
6125,30.468
8054,27.945
6126,27.652
4607,48.935
5087,55.695
6047,42.658
5567,42.058
7967,45.546
7487,46.034
6527,51.918
7007,55.812
7983,43.511
5115,48.468
6071,37.768
5117,45.889
5118,38.21
6077,35.673
6078,30.932
5111,50.512
6075,37.694
7023,53.473
7997,35.06
7998,34.291
7995,36.872
5103,52.826
7031,50.221
7991,39.907
6063,40.794
7035,47.254
7037,44.8
7038,41.612
7415,29.03
7895,28.483
4071,36.594
1919,55.304
7422,22.879
7899,25.62
4075,33.444
7421,25.164
7901,22.493
4077,30.868
7419,27.304
7902,23.327
4078,33.958
4083,30.501
3007,61.085
5615,38.152
7543,39.774
8023,37.879
1791,45.296
6095,39.33
8043,32.497
5055,56.878
6131,31.382
8045,29.881
6133,28.513
8046,29.359
6134,24.187
5599,40.81
6137,26.544
6138,22.626
6140,20.023
8039,35.67
8057,25.11
7519,44.241
8058,26.439
8060,23.55
6119,34.972
8051,30.304
6123,33.354
8124,20.452
7155,38.454
8121,20.521
7157,34.833
7583,41.734
8122,21.506
7158,33.401
5623,35.875
7535,42.361
8015,41.562
3711,47.423
6103,36.69
5629,32.403
6107,35.675
5630,26.4
6110,28.05
5627,34.743
6109,31.79
8027,34.936
7549,34.775
7550,31.531
8030,33.134
8029,32.613
7547,37.362
